.chess.com%2Fbundles%2Fapp%2Fvite%2Fsprites-global-styles.DdqrBI4Lhc.css 200 in 364ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fapp%2Fvite%2Fcommon.C4cbS-dHPk.css 200 in 32ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fapp%2Fvite%2Fcommon.BCewZPhBiN.css 200 in 33ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fapp%2Fvite%2Fglobal-global-styles.LKxUppqAFC.css 200 in 30ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fapp%2Fvite%2Fcommon.CipRL8Pfsz.css 200 in 32ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fapp%2Fvite%2Fcommon.DtvEU2HNem.css 200 in 30ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fapp%2Fvite%2Fcommon.CltPXNWyUb.css 200 in 28ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fapp%2Fvite%2Fcommon.hcBDzUFFWQ.css 200 in 28ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fapp%2Fvite%2Fcommon.YovEljhVqO.css 200 in 30ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fapp%2Fvite%2Fcommon.DdjsFAiTTH.css 200 in 29ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fapp%2Fvite%2Fcommon.BCBZPX6SFO.css 200 in 31ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fapp%2Fcss%2Fnavigation-footer.client.e665d0a1.css 200 in 36ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fapp%2Fvite%2Fcontent-global-styles.kPRlgeTGAJ.css 200 in 31ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fapp%2Fcss%2Flayout.client.e6cf3206.css 200 in 33ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fapp%2Fcss%2Findex.client.ec8e4b3b.css 200 in 35ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fapp%2Fvite%2Flanding-page-global-styles.Dct4SjcTJM.css 200 in 32ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fthemes%2Fcss%3Fboard_size%3D200%26pieces_size%3D150 403 in 41ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fapp%2Fvite%2Fcommon.Dgc0oYOke8.css 200 in 47ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fweb%2Fimages%2Fcolor-icons%2Fpuzzle-piece.svg 200 in 34ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fweb%2Fimages%2Fcolor-icons%2Fbinoculars.svg 200 in 32ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fweb%2Fimages%2Fcolor-icons%2Ftraining.svg 200 in 31ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fweb%2Fimages%2Fcolor-icons%2Flessons.svg 200 in 42ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fweb%2Fimages%2Fcolor-icons%2Fellipsis.svg 200 in 60ms
 GET /proxy?url=https%3A%2F%2Fassets-configurator.chess.com%2Fimage%2Fconfigurator%2Findex_page_hero__1__1775208443885_1777937705623.gif 200 in 126ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fweb%2Fimages%2Fcolor-icons%2Fplay-white.svg 200 in 29ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fweb%2Fimages%2Flogo%2Flogo.svg 200 in 35ms
 GET /proxy?url=https%3A%2F%2Fwww.chess.com%2Fbundles%2Fweb%2Fimages%2Fcolor-icons%2Ffriends.svg 200 in 28ms
